code,name,market,pivot_date,prior_q1,prior_q2,rs_score,eps_yoy_q1_pct,eps_yoy_q2_pct,eps_accelerating,sales_yoy_q1_pct,per_at_pivot_approx,pbr_at_pivot_approx,psr_at_pivot_approx,market_cap_at_pivot_eok,largest_holder_pct,cfps_fy,share_dilution_1y_pct,market_regime_at_pivot,krw_at_pivot,foreign_foreign_pct_at_pivot,foreign_change_pp,pivot_vs_prior_52w_high_pct,pivot_volume_vs_50d_avg,base_len_days,base_depth_pct,prior_uptrend_pct,induty_code,sector_group_winner_count,years_since_establishment
417200,LS머트리얼즈,KOSDAQ,2025-12-17,202509,202506,54,-100.0,-95.5,False,21.3,1422.2,4.68,6.36,8659.5,43.51,-161.4,0.0,상승추세,1471.7,3.67,-1.21,82.6,0.91,1,0.0,41.7,26291,5,4
031210,서울보증보험,KOSPI,2025-04-11,202412,202409,68,None,None,False,None,N/A(이력부족),0.43,None,22308.0,93.85,None,0.0,하락추세,1452.0,0.25,-0.02,85.4,0.11,16,12.5,None,65122,2,56
004450,삼화왕관,KOSPI,2026-05-15,202603,202512,14,32.1,-37.0,True,-5.9,10.0,0.44,0.36,582.8,53.43,6227.4,0.0,상승추세,1493.3,5.14,1.02,69.4,1.86,9,6.4,None,25991,2,61
246250,에스엘에스바이오,KOSDAQ,2025-04-09,202412,202409,29,-136.4,-520.0,False,-26.2,66.6,2.89,2.69,225.0,39.85,112.5,100.0,하락추세,1486.1,2.45,2.04,30.6,0.65,23,10.8,None,739,1,18
038530,케이바이오랩스,KOSDAQ,2025-11-17,202509,202506,53,-300.0,-157.1,False,6.4,N/A(적자),0.58,1.86,1556.4,33.09,-1.0,0.0,상승추세,1446.5,3.2,2.22,81.3,1.15,0,0.0,26.3,464,1,28
206400,베노티앤알,KOSDAQ,2026-05-14,202512,202509,7,-92.3,-126.6,False,-65.9,N/A(적자),0.54,8.12,387.5,13.27,-44.0,0.0,상승추세,1489.8,0.0,0.0,39.7,0.3,8,19.5,None,424,1,12
071280,로체시스템즈,KOSDAQ,2026-03-31,202512,202509,2,631.8,-79.6,False,-38.8,8.8,0.8,0.88,1099.8,43.64,1503.6,0.0,중립,1516.1,44.17,2.27,40.2,1.0,21,22.0,None,292,5,29
279600,미디어젠,KOSDAQ,2026-05-12,202512,202509,3,108.8,16.6,True,139.9,N/A(적자),1.41,0.98,222.5,27.19,-1004.6,0.0,상승추세,1474.4,0.7,0.09,34.9,0.35,23,20.3,None,58222,8,26
001120,LX인터내셔널,KOSPI,2026-01-02,202509,202506,55,-49.9,-41.8,False,-1.2,10.0,0.42,0.07,12403.2,27.5,18672.6,0.0,상승추세,1443.6,21.74,-1.96,93.0,0.85,9,5.9,41.6,4610,1,73
000810,삼성화재,KOSPI,2025-04-14,202412,202409,71,16.4,29.7,False,134.4,7.1,0.7,3.01,165101.3,18.5,66005.9,0.0,하락추세,1419.1,53.6,0.08,80.1,0.61,17,17.5,None,65121,2,73
251120,바이오에프디엔씨,KOSDAQ,2025-04-07,202412,202409,60,-25.4,-6.7,False,-0.0,23.2,1.5,6.64,1066.1,31.39,694.3,0.0,하락추세,1458.5,9.21,-0.48,69.1,2.3,15,6.8,None,2110,4,20
079170,한창산업,KOSDAQ,2026-05-15,202603,202512,31,80.4,13.6,True,-2.4,4.4,0.44,0.33,320.3,52.55,1164.9,0.0,중립,1493.3,6.17,0.66,73.8,0.52,21,7.3,None,24229,4,40
025870,신라에스지,KOSDAQ,2026-05-15,202603,202512,10,64.9,-738.2,False,7.2,N/A(적자),1.11,0.22,157.2,57.4,-524.7,0.0,중립,1493.3,0.84,-0.04,62.4,0.83,17,13.2,None,463,1,49
001840,이화공영,KOSDAQ,2025-09-22,202506,202503,6,392.7,-22.0,True,-5.7,N/A(적자),2.94,0.34,360.1,47.05,-584.3,12.51,상승추세,1396.2,1.08,-0.54,48.5,None,0,0.0,20.1,411,4,69
091340,S&K폴리텍,KOSDAQ,2026-03-04,202512,202509,28,192.3,31.2,True,-5.7,5.5,0.24,0.08,241.7,42.32,634.2,0.0,중립,1483.1,2.53,1.89,62.3,3.25,2,2.6,None,2629,5,27
003060,에이프로젠바이오로직스,KOSPI,2026-05-11,202512,202509,1,53.7,-35.2,False,-7.6,N/A(적자),0.17,0.57,418.0,56.88,-2652.8,-92.74,상승추세,1460.6,0.0,-1.05,26.9,2.45,24,13.1,None,212,6,66
239890,피엔에이치테크,KOSDAQ,2026-03-04,202512,202509,9,56.8,21.3,True,8.0,15.1,0.78,1.44,433.2,36.78,833.5,0.0,중립,1483.1,2.83,-1.8,54.6,1.12,4,7.9,None,20119,4,17
089470,HDC현대EP,KOSPI,2025-11-17,202509,202506,55,521.9,64.9,True,-100.0,3.8,0.29,0.52,1280.8,None,550.0,0.0,상승추세,1446.5,2.36,-0.11,95.7,1.17,21,7.8,26.1,204,3,25
215380,우정바이오,KOSDAQ,2025-12-08,202509,202506,60,45.6,-153.8,False,5.7,N/A(적자),1.48,0.94,349.2,33.61,-66.9,5.98,상승추세,1471.8,9.64,7.92,91.4,0.14,17,6.8,57.7,701,3,10
093240,형지엘리트,KOSPI,2026-05-12,202512,202509,2,-88.5,-338.5,False,58.5,6.9,0.4,0.29,515.7,28.01,-372.5,59.91,상승추세,1474.4,2.26,0.94,23.1,0.73,13,15.0,None,14112,1,24
