시작 전 여유 3.301 GB
명령: python scripts/backtest_volatility_pilot_us.py --market us --start 2021-02-01 --end 2026-08-21 --out .cache/bt5y/sub/us_full.json
설정: 관문임박=off · 진입상태=['actionable']
Sharadar 적재 2020-09-14~2027-06-17 (variant=base) …
  일자 1492일 · 거래대금 시계열 5759종목
  유니버스 등장 5759종목 · 시계열 보유 5759종목
스캔일 1396개 (2021-02-01~2026-08-21, step 1)
  2021-12-13: 평가 3756 · 후보 35 · 진입 0 (누적 719)
  2021-12-14: 평가 3757 · 후보 27 · 진입 5 (누적 724)
  2021-12-15: 평가 3759 · 후보 27 · 진입 4 (누적 728)
  2021-12-16: 평가 3763 · 후보 19 · 진입 2 (누적 730)
  2021-12-17: 평가 3773 · 후보 9 · 진입 0 (누적 730)
  2021-12-20: 평가 3780 · 후보 7 · 진입 2 (누적 732)
  2021-12-21: 평가 3787 · 후보 21 · 진입 2 (누적 734)
  2021-12-22: 평가 3786 · 후보 17 · 진입 5 (누적 739)
  2021-12-23: 평가 3789 · 후보 25 · 진입 9 (누적 748)
  2021-12-27: 평가 3786 · 후보 30 · 진입 6 (누적 754)
  2021-12-28: 평가 3788 · 후보 57 · 진입 19 (누적 773)
  2021-12-29: 평가 3785 · 후보 50 · 진입 14 (누적 787)
  2021-12-30: 평가 3786 · 후보 102 · 진입 10 (누적 797)
  2021-12-31: 평가 3798 · 후보 95 · 진입 20 (누적 817)
  2022-01-03: 평가 3788 · 후보 120 · 진입 30 (누적 847)
  2022-01-04: 평가 3792 · 후보 70 · 진입 9 (누적 856)
  2022-01-05: 평가 3793 · 후보 104 · 진입 13 (누적 869)
  2022-01-06: 평가 3796 · 후보 101 · 진입 10 (누적 879)
  2022-01-07: 평가 3798 · 후보 69 · 진입 2 (누적 881)
  2022-01-10: 평가 3798 · 후보 78 · 진입 7 (누적 888)
  2022-01-11: 평가 3799 · 후보 93 · 진입 11 (누적 899)
  2022-01-12: 평가 3800 · 후보 80 · 진입 9 (누적 908)
  2022-01-13: 평가 3794 · 후보 89 · 진입 2 (누적 910)
  2022-01-14: 평가 3791 · 후보 78 · 진입 5 (누적 915)
  2022-01-18: 평가 3784 · 후보 71 · 진입 2 (누적 917)
  2022-01-19: 평가 3783 · 후보 39 · 진입 1 (누적 918)
  2022-01-20: 평가 3782 · 후보 17 · 진입 1 (누적 919)
  2022-01-21: 평가 3787 · 후보 16 · 진입 1 (누적 920)
  2022-01-24: 평가 3781 · 후보 18 · 진입 0 (누적 920)
  2022-01-25: 평가 3775 · 후보 20 · 진입 3 (누적 923)
  2022-01-26: 평가 3777 · 후보 21 · 진입 1 (누적 924)
  2022-01-27: 평가 3780 · 후보 13 · 진입 2 (누적 926)
  2022-01-28: 평가 3779 · 후보 14 · 진입 1 (누적 927)
  2022-01-31: 평가 3775 · 후보 20 · 진입 5 (누적 932)
  2022-02-01: 평가 3766 · 후보 17 · 진입 3 (누적 935)
  2022-02-02: 평가 3768 · 후보 13 · 진입 1 (누적 936)
  2022-02-03: 평가 3771 · 후보 13 · 진입 3 (누적 939)
  2022-02-04: 평가 3770 · 후보 21 · 진입 4 (누적 943)
  2022-02-07: 평가 3766 · 후보 30 · 진입 7 (누적 950)
  2022-02-08: 평가 3765 · 후보 35 · 진입 16 (누적 966)
  2022-02-09: 평가 3753 · 후보 33 · 진입 1 (누적 967)
  2022-02-10: 평가 3752 · 후보 31 · 진입 5 (누적 972)
  2022-02-11: 평가 3748 · 후보 27 · 진입 1 (누적 973)
  2022-02-14: 평가 3742 · 후보 34 · 진입 3 (누적 976)
  2022-02-15: 평가 3738 · 후보 64 · 진입 9 (누적 985)
  2022-02-16: 평가 3728 · 후보 73 · 진입 3 (누적 988)
  2022-02-17: 평가 3719 · 후보 43 · 진입 4 (누적 992)
  2022-02-18: 평가 3713 · 후보 48 · 진입 3 (누적 995)
  2022-02-22: 평가 3712 · 후보 28 · 진입 2 (누적 997)
  2022-02-23: 평가 3709 · 후보 16 · 진입 3 (누적 1000)
  2022-02-24: 평가 3705 · 후보 16 · 진입 3 (누적 1003)
  2022-02-25: 평가 3700 · 후보 34 · 진입 4 (누적 1007)
  2022-02-28: 평가 3695 · 후보 30 · 진입 1 (누적 1008)
  2022-03-01: 평가 3695 · 후보 14 · 진입 2 (누적 1010)
  2022-03-02: 평가 3687 · 후보 22 · 진입 6 (누적 1016)
  2022-03-03: 평가 3682 · 후보 17 · 진입 0 (누적 1016)
  2022-03-04: 평가 3676 · 후보 18 · 진입 3 (누적 1019)
  2022-03-07: 평가 3676 · 후보 9 · 진입 2 (누적 1021)
  2022-03-08: 평가 3677 · 후보 8 · 진입 1 (누적 1022)
  2022-03-09: 평가 3678 · 후보 19 · 진입 1 (누적 1023)
  2022-03-10: 평가 3677 · 후보 21 · 진입 2 (누적 1025)
  2022-03-11: 평가 3685 · 후보 22 · 진입 4 (누적 1029)
  2022-03-14: 평가 3684 · 후보 15 · 진입 1 (누적 1030)
  2022-03-15: 평가 3683 · 후보 28 · 진입 8 (누적 1038)
  2022-03-16: 평가 3680 · 후보 31 · 진입 11 (누적 1049)
  2022-03-17: 평가 3675 · 후보 21 · 진입 4 (누적 1053)
  2022-03-18: 평가 3681 · 후보 22 · 진입 4 (누적 1057)
  2022-03-21: 평가 3679 · 후보 22 · 진입 5 (누적 1062)
  2022-03-22: 평가 3682 · 후보 27 · 진입 2 (누적 1064)
  2022-03-23: 평가 3675 · 후보 22 · 진입 4 (누적 1068)
  2022-03-24: 평가 3680 · 후보 44 · 진입 8 (누적 1076)
  2022-03-25: 평가 3681 · 후보 65 · 진입 6 (누적 1082)
  2022-03-28: 평가 3679 · 후보 63 · 진입 19 (누적 1101)
  2022-03-29: 평가 3677 · 후보 52 · 진입 6 (누적 1107)
  2022-03-30: 평가 3679 · 후보 56 · 진입 6 (누적 1113)
  2022-03-31: 평가 3685 · 후보 63 · 진입 9 (누적 1122)
  2022-04-01: 평가 3687 · 후보 63 · 진입 5 (누적 1127)
  2022-04-04: 평가 3688 · 후보 84 · 진입 10 (누적 1137)
  2022-04-05: 평가 3681 · 후보 65 · 진입 2 (누적 1139)
  2022-04-06: 평가 3678 · 후보 51 · 진입 7 (누적 1146)
  2022-04-07: 평가 3682 · 후보 63 · 진입 14 (누적 1160)
  2022-04-08: 평가 3685 · 후보 64 · 진입 3 (누적 1163)
  2022-04-11: 평가 3685 · 후보 59 · 진입 8 (누적 1171)
  2022-04-12: 평가 3690 · 후보 60 · 진입 9 (누적 1180)
  2022-04-13: 평가 3695 · 후보 68 · 진입 11 (누적 1191)
  2022-04-14: 평가 3696 · 후보 59 · 진입 9 (누적 1200)
  2022-04-18: 평가 3698 · 후보 73 · 진입 10 (누적 1210)
  2022-04-19: 평가 3700 · 후보 72 · 진입 13 (누적 1223)
  2022-04-20: 평가 3703 · 후보 76 · 진입 4 (누적 1227)
  2022-04-21: 평가 3705 · 후보 64 · 진입 1 (누적 1228)
  2022-04-22: 평가 3702 · 후보 28 · 진입 1 (누적 1229)
  2022-04-25: 평가 3697 · 후보 32 · 진입 1 (누적 1230)
  2022-04-26: 평가 3693 · 후보 20 · 진입 0 (누적 1230)
  2022-04-27: 평가 3696 · 후보 22 · 진입 3 (누적 1233)
  2022-04-28: 평가 3702 · 후보 29 · 진입 1 (누적 1234)
  2022-04-29: 평가 3704 · 후보 15 · 진입 0 (누적 1234)
  2022-05-02: 평가 3700 · 후보 11 · 진입 2 (누적 1236)
  2022-05-03: 평가 3702 · 후보 27 · 진입 12 (누적 1248)
  2022-05-04: 평가 3704 · 후보 26 · 진입 2 (누적 1250)
  2022-05-05: 평가 3705 · 후보 14 · 진입 1 (누적 1251)
  2022-05-06: 평가 3710 · 후보 19 · 진입 0 (누적 1251)
  2022-05-09: 평가 3714 · 후보 5 · 진입 0 (누적 1251)
  2022-05-10: 평가 3714 · 후보 5 · 진입 0 (누적 1251)
  2022-05-11: 평가 3720 · 후보 6 · 진입 0 (누적 1251)
  2022-05-12: 평가 3730 · 후보 6 · 진입 1 (누적 1252)
  2022-05-13: 평가 3736 · 후보 15 · 진입 2 (누적 1254)
  2022-05-16: 평가 3736 · 후보 16 · 진입 5 (누적 1259)
  2022-05-17: 평가 3733 · 후보 11 · 진입 2 (누적 1261)
  2022-05-18: 평가 3728 · 후보 11 · 진입 1 (누적 1262)
  2022-05-19: 평가 3726 · 후보 13 · 진입 2 (누적 1264)
  2022-05-20: 평가 3725 · 후보 14 · 진입 4 (누적 1268)
  2022-05-23: 평가 3719 · 후보 33 · 진입 9 (누적 1277)
  2022-05-24: 평가 3726 · 후보 31 · 진입 12 (누적 1289)
  2022-05-25: 평가 3727 · 후보 22 · 진입 7 (누적 1296)
  2022-05-26: 평가 3723 · 후보 31 · 진입 10 (누적 1306)
  2022-05-27: 평가 3721 · 후보 22 · 진입 4 (누적 1310)
  2022-05-31: 평가 3711 · 후보 31 · 진입 7 (누적 1317)
  2022-06-01: 평가 3705 · 후보 23 · 진입 4 (누적 1321)
  2022-06-02: 평가 3696 · 후보 30 · 진입 2 (누적 1323)
  2022-06-03: 평가 3688 · 후보 41 · 진입 11 (누적 1334)
  2022-06-06: 평가 3683 · 후보 47 · 진입 8 (누적 1342)
  2022-06-07: 평가 3682 · 후보 39 · 진입 3 (누적 1345)
  2022-06-08: 평가 3680 · 후보 49 · 진입 1 (누적 1346)
  2022-06-09: 평가 3679 · 후보 31 · 진입 0 (누적 1346)
  2022-06-10: 평가 3676 · 후보 23 · 진입 0 (누적 1346)
  2022-06-13: 평가 3671 · 후보 8 · 진입 1 (누적 1347)
  2022-06-14: 평가 3660 · 후보 8 · 진입 0 (누적 1347)
  2022-06-15: 평가 3656 · 후보 12 · 진입 0 (누적 1347)
  2022-06-16: 평가 3656 · 후보 8 · 진입 0 (누적 1347)
  2022-06-17: 평가 3652 · 후보 7 · 진입 1 (누적 1348)
  2022-06-21: 평가 3659 · 후보 10 · 진입 2 (누적 1350)
  2022-06-22: 평가 3662 · 후보 8 · 진입 1 (누적 1351)
  2022-06-23: 평가 3648 · 후보 7 · 진입 0 (누적 1351)
  2022-06-24: 평가 3652 · 후보 10 · 진입 2 (누적 1353)
  2022-06-27: 평가 3650 · 후보 8 · 진입 2 (누적 1355)
  2022-06-28: 평가 3649 · 후보 13 · 진입 1 (누적 1356)
  2022-06-29: 평가 3647 · 후보 12 · 진입 0 (누적 1356)
  2022-06-30: 평가 3655 · 후보 10 · 진입 3 (누적 1359)
  2022-07-01: 평가 3653 · 후보 20 · 진입 0 (누적 1359)
  2022-07-05: 평가 3650 · 후보 17 · 진입 3 (누적 1362)
  2022-07-06: 평가 3649 · 후보 19 · 진입 1 (누적 1363)
  2022-07-07: 평가 3645 · 후보 19 · 진입 4 (누적 1367)
  2022-07-08: 평가 3645 · 후보 19 · 진입 3 (누적 1370)
  2022-07-11: 평가 3651 · 후보 22 · 진입 1 (누적 1371)
  2022-07-12: 평가 3653 · 후보 35 · 진입 1 (누적 1372)
  2022-07-13: 평가 3649 · 후보 34 · 진입 1 (누적 1373)
  2022-07-14: 평가 3649 · 후보 34 · 진입 4 (누적 1377)
  2022-07-15: 평가 3647 · 후보 32 · 진입 5 (누적 1382)
  2022-07-18: 평가 3644 · 후보 25 · 진입 3 (누적 1385)
  2022-07-19: 평가 3647 · 후보 27 · 진입 9 (누적 1394)
  2022-07-20: 평가 3646 · 후보 28 · 진입 0 (누적 1394)
  2022-07-21: 평가 3635 · 후보 26 · 진입 2 (누적 1396)
  2022-07-22: 평가 3627 · 후보 43 · 진입 15 (누적 1411)
  2022-07-25: 평가 3625 · 후보 34 · 진입 4 (누적 1415)
  2022-07-26: 평가 3620 · 후보 38 · 진입 3 (누적 1418)
  2022-07-27: 평가 3619 · 후보 39 · 진입 6 (누적 1424)
  2022-07-28: 평가 3617 · 후보 37 · 진입 7 (누적 1431)
  2022-07-29: 평가 3614 · 후보 39 · 진입 3 (누적 1434)
  2022-08-01: 평가 3617 · 후보 34 · 진입 5 (누적 1439)
  2022-08-02: 평가 3617 · 후보 39 · 진입 5 (누적 1444)
  2022-08-03: 평가 3615 · 후보 44 · 진입 4 (누적 1448)
  2022-08-04: 평가 3626 · 후보 34 · 진입 1 (누적 1449)
  2022-08-05: 평가 3633 · 후보 36 · 진입 6 (누적 1455)
  2022-08-08: 평가 3649 · 후보 39 · 진입 1 (누적 1456)
  2022-08-09: 평가 3650 · 후보 45 · 진입 2 (누적 1458)
  2022-08-10: 평가 3649 · 후보 55 · 진입 11 (누적 1469)
  2022-08-11: 평가 3650 · 후보 44 · 진입 4 (누적 1473)
  2022-08-12: 평가 3658 · 후보 34 · 진입 4 (누적 1477)
  2022-08-15: 평가 3661 · 후보 48 · 진입 7 (누적 1484)
  2022-08-16: 평가 3672 · 후보 51 · 진입 4 (누적 1488)
  2022-08-17: 평가 3669 · 후보 64 · 진입 8 (누적 1496)
  2022-08-18: 평가 3668 · 후보 58 · 진입 1 (누적 1497)
  2022-08-19: 평가 3668 · 후보 68 · 진입 2 (누적 1499)
  2022-08-22: 평가 3664 · 후보 65 · 진입 7 (누적 1506)
  2022-08-23: 평가 3663 · 후보 61 · 진입 9 (누적 1515)
  2022-08-24: 평가 3660 · 후보 64 · 진입 8 (누적 1523)
  2022-08-25: 평가 3663 · 후보 68 · 진입 1 (누적 1524)
  2022-08-26: 평가 3667 · 후보 72 · 진입 1 (누적 1525)
  2022-08-29: 평가 3666 · 후보 60 · 진입 0 (누적 1525)
  2022-08-30: 평가 3664 · 후보 45 · 진입 1 (누적 1526)
  2022-08-31: 평가 3653 · 후보 50 · 진입 1 (누적 1527)
  2022-09-01: 평가 3651 · 후보 35 · 진입 3 (누적 1530)
  2022-09-02: 평가 3651 · 후보 45 · 진입 2 (누적 1532)
  2022-09-06: 평가 3615 · 후보 28 · 진입 2 (누적 1534)
  2022-09-07: 평가 3616 · 후보 22 · 진입 5 (누적 1539)
  2022-09-08: 평가 3609 · 후보 28 · 진입 5 (누적 1544)
  2022-09-09: 평가 3606 · 후보 38 · 진입 3 (누적 1547)
  2022-09-12: 평가 3603 · 후보 48 · 진입 4 (누적 1551)
  2022-09-13: 평가 3602 · 후보 33 · 진입 3 (누적 1554)
  2022-09-14: 평가 3602 · 후보 33 · 진입 2 (누적 1556)
  2022-09-15: 평가 3598 · 후보 26 · 진입 0 (누적 1556)
  2022-09-16: 평가 3605 · 후보 10 · 진입 0 (누적 1556)
  2022-09-19: 평가 3604 · 후보 11 · 진입 1 (누적 1557)
  2022-09-20: 평가 3604 · 후보 12 · 진입 2 (누적 1559)
  2022-09-21: 평가 3606 · 후보 14 · 진입 0 (누적 1559)
  2022-09-22: 평가 3603 · 후보 7 · 진입 0 (누적 1559)
  2022-09-23: 평가 3604 · 후보 12 · 진입 0 (누적 1559)
  2022-09-26: 평가 3604 · 후보 11 · 진입 0 (누적 1559)
  2022-09-27: 평가 3604 · 후보 9 · 진입 1 (누적 1560)
  2022-09-28: 평가 3605 · 후보 13 · 진입 1 (누적 1561)
  2022-09-29: 평가 3602 · 후보 13 · 진입 4 (누적 1565)
  2022-09-30: 평가 3601 · 후보 12 · 진입 3 (누적 1568)
  2022-10-03: 평가 3597 · 후보 12 · 진입 5 (누적 1573)
  2022-10-04: 평가 3597 · 후보 12 · 진입 2 (누적 1575)
  2022-10-05: 평가 3592 · 후보 13 · 진입 2 (누적 1577)
  2022-10-06: 평가 3589 · 후보 22 · 진입 4 (누적 1581)
  2022-10-07: 평가 3589 · 후보 18 · 진입 0 (누적 1581)
  2022-10-10: 평가 3587 · 후보 23 · 진입 4 (누적 1585)
  2022-10-11: 평가 3583 · 후보 28 · 진입 4 (누적 1589)
  2022-10-12: 평가 3578 · 후보 26 · 진입 7 (누적 1596)
  2022-10-13: 평가 3566 · 후보 37 · 진입 9 (누적 1605)
  2022-10-14: 평가 3556 · 후보 34 · 진입 3 (누적 1608)
  2022-10-17: 평가 3551 · 후보 34 · 진입 6 (누적 1614)
  2022-10-18: 평가 3544 · 후보 33 · 진입 6 (누적 1620)
  2022-10-19: 평가 3528 · 후보 29 · 진입 4 (누적 1624)
  2022-10-20: 평가 3527 · 후보 34 · 진입 3 (누적 1627)
  2022-10-21: 평가 3522 · 후보 32 · 진입 9 (누적 1636)
  2022-10-24: 평가 3517 · 후보 44 · 진입 9 (누적 1645)
  2022-10-25: 평가 3514 · 후보 33 · 진입 4 (누적 1649)
  2022-10-26: 평가 3505 · 후보 31 · 진입 4 (누적 1653)
  2022-10-27: 평가 3501 · 후보 22 · 진입 3 (누적 1656)
  2022-10-28: 평가 3484 · 후보 23 · 진입 3 (누적 1659)
  2022-10-31: 평가 3479 · 후보 36 · 진입 5 (누적 1664)
  2022-11-01: 평가 3474 · 후보 46 · 진입 6 (누적 1670)
